espece  aj      bj      alphaj  nuj     Xj      Cj      ccj     ddj
rr	    524	    3	    1	    2	    -1	    8e6	    842	    0.8	
ii 	    0.82	2.5	    3 	    3	    0	    800	    800	    1	
ss	    0.02	1.9	    1	    1.3	    1	    5	    5.1	    0.27
ws	    0.02	1.9	    1	    1	    1	    5	    5.1	    0.27	
gg	    19.6	2.8	    1	    1	    -0.5	5e5	    124	    0.66
wg	    19.6	2.8	    1 	    1	    -0.5	5e5	    124	    0.66
hh      470.    3.0 	1	    8	    -1.0	4e4	    207	    0.64
wh      470.    3.0 	1	    8	    -1.0	4e4	    207	    0.64	
cl	    524	    3	    1 	    3	    0	    1e8	    3.2e7	2.0
cs      524     3       3       1       0       1e8     3.2e7   2.0
