espece  aj      bj     alphaj  nuj     Xj      Cj      ccj     ddj
rr	523.599	3.0    1       0      -999       195     4854     1
ii 	466.003	3.0    1       0       -999     0     1493.9     1	
ss	0.069	2.0    -999       -999     -999     100     40     0.55
ws	0.02	1.9    1       1.3     1.0     5.0     5.1     0.27	
gg	209.440	3.0    1       0      -9999     0     442     0.89
wg	19.6	2.8    1       1      -0.5     5e5     124     0.66
hh      470.    3.0    1       8      -1.0     4e4     207     0.64
wh      470.    3.0    1       8      -1.0     4e4     207     0.64	
cl	523.599	3.0    1       12       -999     0     0.316946e8   2
cs      523.599    3.0    3       1       0.0     1e8     3.2e7   2.0
